Country Name,Country Code,Date,Thevalue,theid
Barbados,BRB,2011-01-01,16.3,1259
Belarus,BLR,1986-01-01,0,1260
Belarus,BLR,1987-01-01,0,1261
Belarus,BLR,1992-01-01,30,1262
Belarus,BLR,1993-01-01,708,1263
Belarus,BLR,1994-01-01,1021,1264
Belarus,BLR,1995-01-01,650.2,1265
Belarus,BLR,1996-01-01,567.8,1266
Belarus,BLR,1997-01-01,596.3,1267
Belarus,BLR,1998-01-01,583.4,1268
Belarus,BLR,1999-01-01,578.6,1269
Belarus,BLR,2000-01-01,572.3,1270
Belarus,BLR,2001-01-01,502.7,1271
Belarus,BLR,2002-01-01,492.3,1272
Belarus,BLR,2003-01-01,520.6,1273
Belarus,BLR,2004-01-01,496.8,1274
Belarus,BLR,2005-01-01,490.6,1275
Belarus,BLR,2006-01-01,446.7,1276
Belarus,BLR,2007-01-01,411.5,1277
Belarus,BLR,2008-01-01,387,1278
Belarus,BLR,2009-01-01,380.2,1279
Belarus,BLR,2010-01-01,335.2,1280
Belarus,BLR,2011-01-01,341.6,1281
Belgium,BEL,1981-01-01,3309,1282
Belgium,BEL,1985-01-01,3424,1283
Belgium,BEL,1986-01-01,3658,1284
Belgium,BEL,1987-01-01,3588,1285
Belgium,BEL,1988-01-01,3586,1286
Belgium,BEL,1989-01-01,3905,1287
Belgium,BEL,1990-01-01,4103,1288
Belgium,BEL,1991-01-01,4164,1289
Belgium,BEL,1992-01-01,4431,1290
Belgium,BEL,1993-01-01,4512,1291
Belgium,BEL,1994-01-01,4949,1292
Belgium,BEL,1995-01-01,"5,171.6",1293
Belgium,BEL,1996-01-01,"5,554.4",1294
Belgium,BEL,1997-01-01,"5,531.8",1295
Belgium,BEL,1998-01-01,"5,687.7",1296
Belgium,BEL,1999-01-01,"5,712.5",1297
Belgium,BEL,2000-01-01,"5,735.4",1298
Belgium,BEL,2001-01-01,"5,827.3",1299
Belgium,BEL,2002-01-01,"6,036.7",1300
Belgium,BEL,2003-01-01,"6,303.8",1301
Belgium,BEL,2004-01-01,"6,625.4",1302
Belgium,BEL,2005-01-01,"6,847.2",1303
Belgium,BEL,2006-01-01,"6,736.1",1304
Belgium,BEL,2007-01-01,"7,077.8",1305
Belgium,BEL,2008-01-01,"7,298.1",1306
Belgium,BEL,2009-01-01,"7,221.9",1307
Belgium,BEL,2010-01-01,"7,389.4",1308
Belgium,BEL,2011-01-01,"7,483.9",1309
Belize,BLZ,1986-01-01,1,1310
Belize,BLZ,1987-01-01,0,1311
Belize,BLZ,1988-01-01,1,1312
Belize,BLZ,1989-01-01,2,1313
Belize,BLZ,1990-01-01,0,1314
Belize,BLZ,1991-01-01,1,1315
Belize,BLZ,1992-01-01,2,1316
Belize,BLZ,1993-01-01,2,1317
Belize,BLZ,1994-01-01,1,1318
Belize,BLZ,1995-01-01,2.3,1319
Belize,BLZ,1996-01-01,1.3,1320
Belize,BLZ,1997-01-01,3.7,1321
Belize,BLZ,1998-01-01,0.8,1322
Belize,BLZ,1999-01-01,2.5,1323
Belize,BLZ,2000-01-01,0.3,1324
Belize,BLZ,2001-01-01,1.7,1325
Belize,BLZ,2002-01-01,0.9,1326
Belize,BLZ,2003-01-01,1.6,1327
Belize,BLZ,2004-01-01,1,1328
Belize,BLZ,2005-01-01,3,1329
Belize,BLZ,2006-01-01,2.9,1330
Belize,BLZ,2007-01-01,1.1,1331
Belize,BLZ,2008-01-01,1.9,1332
Belize,BLZ,2009-01-01,2,1333
Belize,BLZ,2010-01-01,2.8,1334
Belize,BLZ,2011-01-01,2.5,1335
Benin,BEN,1986-01-01,0,1336
Benin,BEN,1987-01-01,6,1337
Benin,BEN,1988-01-01,7,1338
Benin,BEN,1989-01-01,5,1339
Benin,BEN,1990-01-01,6,1340
Benin,BEN,1991-01-01,13,1341
Benin,BEN,1992-01-01,8,1342
Benin,BEN,1993-01-01,11,1343
Benin,BEN,1994-01-01,9,1344
Benin,BEN,1995-01-01,13.7,1345
Benin,BEN,1996-01-01,13.7,1346
Benin,BEN,1997-01-01,21.4,1347
Benin,BEN,1998-01-01,19.3,1348
Benin,BEN,1999-01-01,21.2,1349
Benin,BEN,2000-01-01,25.1,1350
Benin,BEN,2001-01-01,21.1,1351
Benin,BEN,2002-01-01,29.4,1352
Benin,BEN,2003-01-01,27.5,1353
Benin,BEN,2004-01-01,30.8,1354
Benin,BEN,2005-01-01,27.9,1355
Benin,BEN,2006-01-01,29.9,1356
Benin,BEN,2007-01-01,43.1,1357
Benin,BEN,2008-01-01,43.6,1358
Benin,BEN,2009-01-01,47.7,1359
Benin,BEN,2010-01-01,47,1360
Benin,BEN,2011-01-01,51.2,1361
Bhutan,BTN,1986-01-01,0,1362
Bhutan,BTN,1987-01-01,1,1363
Bhutan,BTN,1988-01-01,0,1364
Bhutan,BTN,1989-01-01,3,1365
Bhutan,BTN,1990-01-01,1,1366
Bhutan,BTN,1991-01-01,0,1367
Bhutan,BTN,1992-01-01,2,1368
Bhutan,BTN,1993-01-01,2,1369
Bhutan,BTN,1994-01-01,3,1370
Bhutan,BTN,1995-01-01,2.3,1371
Bhutan,BTN,1996-01-01,0,1372
Bhutan,BTN,1997-01-01,1,1373
Bhutan,BTN,1998-01-01,1.5,1374
Bhutan,BTN,1999-01-01,0.5,1375
Bhutan,BTN,2000-01-01,1.3,1376
Bhutan,BTN,2001-01-01,1.2,1377
Bhutan,BTN,2002-01-01,2.8,1378
Bhutan,BTN,2003-01-01,2.3,1379
Bhutan,BTN,2004-01-01,5.4,1380
Bhutan,BTN,2005-01-01,1.9,1381
Bhutan,BTN,2006-01-01,8.8,1382
Bhutan,BTN,2007-01-01,3.4,1383
Bhutan,BTN,2008-01-01,3.2,1384
Bhutan,BTN,2009-01-01,6.9,1385
Bhutan,BTN,2010-01-01,4.9,1386
Bhutan,BTN,2011-01-01,8.3,1387
Bolivia,BOL,1986-01-01,5,1388
Bolivia,BOL,1987-01-01,11,1389
Bolivia,BOL,1988-01-01,8,1390
Bolivia,BOL,1989-01-01,14,1391
Bolivia,BOL,1990-01-01,17,1392
Bolivia,BOL,1991-01-01,11,1393
Bolivia,BOL,1992-01-01,15,1394
Bolivia,BOL,1993-01-01,23,1395
Bolivia,BOL,1994-01-01,24,1396
Bolivia,BOL,1995-01-01,23.9,1397
Bolivia,BOL,1996-01-01,21.3,1398
Bolivia,BOL,1997-01-01,34.7,1399
Bolivia,BOL,1998-01-01,28.2,1400
Bolivia,BOL,1999-01-01,40.7,1401
Bolivia,BOL,2000-01-01,29.1,1402
Bolivia,BOL,2001-01-01,28.9,1403
Bolivia,BOL,2002-01-01,33.2,1404
Bolivia,BOL,2003-01-01,38.8,1405
Bolivia,BOL,2004-01-01,31.7,1406
Bolivia,BOL,2005-01-01,39,1407
Bolivia,BOL,2006-01-01,43.1,1408
Bolivia,BOL,2007-01-01,50.6,1409
Bolivia,BOL,2008-01-01,49.6,1410
Bolivia,BOL,2009-01-01,45.2,1411
Bolivia,BOL,2010-01-01,42.5,1412
Bolivia,BOL,2011-01-01,46.9,1413
Bosnia and Herzegovina,BIH,1981-01-01,0,1414
Bosnia and Herzegovina,BIH,1985-01-01,0,1415
Bosnia and Herzegovina,BIH,1986-01-01,0,1416
Bosnia and Herzegovina,BIH,1987-01-01,0,1417
Bosnia and Herzegovina,BIH,1988-01-01,0,1418
Bosnia and Herzegovina,BIH,1989-01-01,0,1419
Bosnia and Herzegovina,BIH,1990-01-01,0,1420
Bosnia and Herzegovina,BIH,1991-01-01,0,1421
Bosnia and Herzegovina,BIH,1992-01-01,0,1422
Bosnia and Herzegovina,BIH,1993-01-01,14,1423
Bosnia and Herzegovina,BIH,1994-01-01,11,1424
Bosnia and Herzegovina,BIH,1995-01-01,10.2,1425
Bosnia and Herzegovina,BIH,1996-01-01,6.6,1426
Bosnia and Herzegovina,BIH,1997-01-01,10.7,1427
Bosnia and Herzegovina,BIH,1998-01-01,13,1428
Bosnia and Herzegovina,BIH,1999-01-01,9.5,1429
Bosnia and Herzegovina,BIH,2000-01-01,9.6,1430
Bosnia and Herzegovina,BIH,2001-01-01,16.8,1431
Bosnia and Herzegovina,BIH,2002-01-01,9.1,1432
Bosnia and Herzegovina,BIH,2003-01-01,18.5,1433
Bosnia and Herzegovina,BIH,2004-01-01,14,1434
Bosnia and Herzegovina,BIH,2005-01-01,26.1,1435
Bosnia and Herzegovina,BIH,2006-01-01,29.5,1436
Bosnia and Herzegovina,BIH,2007-01-01,53.7,1437
Bosnia and Herzegovina,BIH,2008-01-01,41,1438
Bosnia and Herzegovina,BIH,2009-01-01,63.8,1439
Bosnia and Herzegovina,BIH,2010-01-01,68.2,1440
Bosnia and Herzegovina,BIH,2011-01-01,54.1,1441
Botswana,BWA,1986-01-01,24,1442
Botswana,BWA,1987-01-01,14,1443
Botswana,BWA,1988-01-01,9,1444
Botswana,BWA,1989-01-01,20,1445
Botswana,BWA,1990-01-01,17,1446
Botswana,BWA,1991-01-01,18,1447
Botswana,BWA,1992-01-01,20,1448
Botswana,BWA,1993-01-01,28,1449
Botswana,BWA,1994-01-01,19,1450
Botswana,BWA,1995-01-01,28,1451
Botswana,BWA,1996-01-01,39.1,1452
Botswana,BWA,1997-01-01,31.6,1453
Botswana,BWA,1998-01-01,34.9,1454
Botswana,BWA,1999-01-01,38.7,1455
Botswana,BWA,2000-01-01,54.9,1456
Botswana,BWA,2001-01-01,50.6,1457
Botswana,BWA,2002-01-01,60.4,1458
Botswana,BWA,2003-01-01,66.5,1459
Botswana,BWA,2004-01-01,63.6,1460
Botswana,BWA,2005-01-01,48.4,1461
Botswana,BWA,2006-01-01,67.1,1462
Botswana,BWA,2007-01-01,61.6,1463
Botswana,BWA,2008-01-01,57.8,1464
Botswana,BWA,2009-01-01,44.9,1465
Botswana,BWA,2010-01-01,32.9,1466
Botswana,BWA,2011-01-01,49.7,1467
Brazil,BRA,1981-01-01,1438,1468
